Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,1877,,8219,,,2
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,23209,,1546387,,,2
H5,2017,2017,2017,6,1,1,Import,36,Australia,AUS,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,91453,,,,5759867,,77307115,,,4
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,1,,,,43,,1141,,,4
H5,2017,2017,2017,6,1,1,Import,40,Austria,AUT,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,236370,,12776032,,,2
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,50,,1474,,,2
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,185,,,,3267,,97421,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,42,,,,625,,20121,,,0
H5,2017,2017,2017,6,1,1,Import,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,758968,,53453467,,,2
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,724,,27879,,,2
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,9,,,,509,,6836,,,4
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,490,"Other Asia, nes",,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,1354,,,,22937,,279281,,,0
